DAY,Section(DE),ROOM3,3,ROOM4,4,ROOM5,5
Monday,CRPCS1,CLH201,CRP(DE),-,x,-,x
Monday,CRPCS2,CLH202,CRP(DE),-,x,-,x
Monday,CRPCS3,CLH203,CRP(DE),-,x,-,x
Monday,CRPCS4,CLH204,CRP(DE),-,x,-,x
Monday,AICS1,-,x,CLH201,AI(DE),-,x
Monday,AICS2,CLH205,AI(DE),-,x,-,x
Monday,AICS3,CLH206,AI(DE),-,x,-,x
Monday,AICS4,CLH207,AI(DE),-,x,-,x
Monday,AICS5,CLH208,AI(DE),-,x,-,x
Monday,AICS6,CLH301,AI(DE),-,x,-,x
Monday,AICS7,CLH302,AI(DE),-,x,-,x
Monday,AICS8,CLH303,AI(DE),-,x,-,x
Monday,AICS9,CLH304,AI(DE),-,x,-,x
Monday,AICS10,CLH305,AI(DE),-,x,-,x
Monday,AICS11,CLH306,AI(DE),-,x,-,x
Monday,AICS12,CLH307,AI(DE),-,x,-,x
Monday,AICS13,CLH308,AI(DE),-,x,-,x
Monday,AICS14,-,x,CLH202,AI(DE),-,x
Monday,AICS15,-,x,CLH203,AI(DE),-,x
Monday,AICS16,-,x,CLH204,AI(DE),-,x
Monday,AICS17,-,x,CLH205,AI(DE),-,x
Monday,AICS18,-,x,CLH206,AI(DE),-,x
Monday,AICS19,-,x,CLH207,AI(DE),-,x
Monday,AICS20,-,x,CLH208,AI(DE),-,x
Monday,DMDWIT1,CLH401,DMDW(DE),-,x,-,x
Monday,DMDWIT2,CLH402,DMDW(DE),-,x,-,x
Monday,DMDWIT3,CLH403,DMDW(DE),-,x,-,x
Monday,DMDWIT4,CLH404,DMDW(DE),-,x,-,x
Monday,DMDWIT5,CLH405,DMDW(DE),-,x,-,x
Monday,DMDWIT6,CLH406,DMDW(DE),-,x,-,x
Monday,CRPIT1,-,x,CLH301,CRP(DE),-,x
Monday,CRPIT2,CLH407,CRP(DE),-,x,-,x
Monday,CRPCE1,-,x,CLH302,CRP(DE),-,x
Monday,AICE1,-,x,CLH303,AI(DE),-,x
Monday,AICE2,CLH408,AI(DE),-,x,-,x
Monday,NLPSE1,CLH409,NLP(DE),-,x,-,x
Monday,NLPSE2,-,x,CLH304,NLP(DE),-,x
Monday,CISE1,CLH001,CI(DE),-,x,-,x
Tuesday,AICS1,-,x,CLH201,AI(DE),-,x
Tuesday,AICS14,-,x,CLH202,AI(DE),-,x
Tuesday,AICS15,-,x,CLH203,AI(DE),-,x
Tuesday,AICS16,-,x,CLH204,AI(DE),-,x
Tuesday,AICS17,-,x,CLH205,AI(DE),-,x
Tuesday,AICS18,-,x,CLH206,AI(DE),-,x
Tuesday,AICS19,-,x,CLH207,AI(DE),-,x
Tuesday,AICS20,-,x,CLH208,AI(DE),-,x
Tuesday,BDCS1,CLH201,BD(DE),-,x,-,x
Tuesday,BDCS2,CLH202,BD(DE),-,x,-,x
Tuesday,BDCS3,CLH203,BD(DE),-,x,-,x
Tuesday,BDCS4,CLH204,BD(DE),-,x,-,x
Tuesday,BDCS5,CLH205,BD(DE),-,x,-,x
Tuesday,BDCS6,CLH206,BD(DE),-,x,-,x
Tuesday,BDCS7,CLH207,BD(DE),-,x,-,x
Tuesday,BDCS8,CLH208,BD(DE),-,x,-,x
Tuesday,BDCS9,CLH301,BD(DE),-,x,-,x
Tuesday,BDCS10,CLH302,BD(DE),-,x,-,x
Tuesday,BDCS11,CLH303,BD(DE),-,x,-,x
Tuesday,BDCS12,CLH304,BD(DE),-,x,-,x
Tuesday,BDCS13,CLH305,BD(DE),-,x,-,x
Tuesday,BDCS14,-,x,-,x,CLH201,BD(DE)
Tuesday,BDCS15,-,x,-,x,CLH202,BD(DE)
Tuesday,BDCS16,-,x,-,x,CLH203,BD(DE)
Tuesday,BDCS17,-,x,-,x,CLH204,BD(DE)
Tuesday,BDCS18,-,x,-,x,CLH205,BD(DE)
Tuesday,DMDWCS1,CLH306,DMDW(DE),-,x,-,x
Tuesday,DMDWCS2,CLH307,DMDW(DE),-,x,-,x
Tuesday,DMDWCS3,CLH308,DMDW(DE),-,x,-,x
Tuesday,DMDWCS4,CLH401,DMDW(DE),-,x,-,x
Tuesday,CICS1,CLH402,CI(DE),-,x,-,x
Tuesday,CICS2,CLH403,CI(DE),-,x,-,x
Tuesday,CICS3,CLH404,CI(DE),-,x,-,x
Tuesday,CICS4,CLH405,CI(DE),-,x,-,x
Tuesday,CRPIT1,-,x,CLH301,CRP(DE),-,x
Tuesday,CIIT1,CLH406,CI(DE),-,x,-,x
Tuesday,BDIT1,-,x,-,x,CLH206,BD(DE)
Tuesday,BDIT2,-,x,-,x,CLH207,BD(DE)
Tuesday,BDIT3,-,x,-,x,CLH208,BD(DE)
Tuesday,BDIT4,-,x,-,x,CLH301,BD(DE)
Tuesday,BDIT5,-,x,-,x,CLH302,BD(DE)
Tuesday,BDIT6,-,x,-,x,CLH303,BD(DE)
Tuesday,CGIT1,CLH407,CG(DE),-,x,-,x
Tuesday,CRPCE1,-,x,CLH302,CRP(DE),-,x
Tuesday,AICE1,-,x,CLH303,AI(DE),-,x
Tuesday,ITCCE1,CLH408,ITC(DE),-,x,-,x
Tuesday,ITCCE2,CLH409,ITC(DE),-,x,-,x
Tuesday,PMMCE1,CLH001,PMM(DE),-,x,-,x
Tuesday,NLPSE2,-,x,CLH304,NLP(DE),-,x
Tuesday,MLSE1,CLH002,ML(DE),-,x,-,x
Tuesday,MLSE2,CLH003,ML(DE),-,x,-,x
Tuesday,MLSE3,CLH004,ML(DE),-,x,-,x
Wednesday,CRPCS1,-,x,CLH201,CRP(DE),-,x
Wednesday,CRPCS2,-,x,CLH202,CRP(DE),-,x
Wednesday,CRPCS3,-,x,CLH203,CRP(DE),-,x
Wednesday,CRPCS4,-,x,CLH204,CRP(DE),-,x
Wednesday,AICS2,-,x,CLH205,AI(DE),-,x
Wednesday,AICS3,-,x,CLH206,AI(DE),-,x
Wednesday,AICS4,-,x,CLH207,AI(DE),-,x
Wednesday,AICS5,-,x,CLH208,AI(DE),-,x
Wednesday,AICS6,-,x,CLH301,AI(DE),-,x
Wednesday,AICS7,-,x,CLH302,AI(DE),-,x
Wednesday,AICS8,-,x,CLH303,AI(DE),-,x
Wednesday,AICS9,-,x,CLH304,AI(DE),-,x
Wednesday,AICS10,-,x,CLH305,AI(DE),-,x
Wednesday,AICS11,-,x,CLH306,AI(DE),-,x
Wednesday,AICS12,-,x,CLH307,AI(DE),-,x
Wednesday,AICS13,-,x,CLH308,AI(DE),-,x
Wednesday,BDCS1,-,x,-,x,CLH201,BD(DE)
Wednesday,BDCS2,-,x,-,x,CLH202,BD(DE)
Wednesday,BDCS3,-,x,-,x,CLH203,BD(DE)
Wednesday,BDCS4,-,x,-,x,CLH204,BD(DE)
Wednesday,BDCS5,-,x,-,x,CLH205,BD(DE)
Wednesday,BDCS6,-,x,-,x,CLH206,BD(DE)
Wednesday,BDCS7,-,x,-,x,CLH207,BD(DE)
Wednesday,BDCS8,-,x,-,x,CLH208,BD(DE)
Wednesday,BDCS9,-,x,-,x,CLH301,BD(DE)
Wednesday,BDCS10,-,x,-,x,CLH302,BD(DE)
Wednesday,BDCS11,-,x,-,x,CLH303,BD(DE)
Wednesday,BDCS12,-,x,-,x,CLH304,BD(DE)
Wednesday,BDCS13,-,x,-,x,CLH305,BD(DE)
Wednesday,BDCS14,CLH201,BD(DE),-,x,-,x
Wednesday,BDCS15,CLH202,BD(DE),-,x,-,x
Wednesday,BDCS16,CLH203,BD(DE),-,x,-,x
Wednesday,BDCS17,CLH204,BD(DE),-,x,-,x
Wednesday,BDCS18,CLH205,BD(DE),-,x,-,x
Wednesday,DMDWCS1,-,x,-,x,CLH306,DMDW(DE)
Wednesday,DMDWCS2,-,x,-,x,CLH307,DMDW(DE)
Wednesday,DMDWCS3,-,x,-,x,CLH308,DMDW(DE)
Wednesday,DMDWCS4,-,x,-,x,CLH401,DMDW(DE)
Wednesday,CICS1,-,x,-,x,CLH402,CI(DE)
Wednesday,CICS2,-,x,-,x,CLH403,CI(DE)
Wednesday,CICS3,-,x,-,x,CLH404,CI(DE)
Wednesday,CICS4,-,x,-,x,CLH405,CI(DE)
Wednesday,DMDWIT1,-,x,CLH401,DMDW(DE),-,x
Wednesday,DMDWIT2,-,x,CLH402,DMDW(DE),-,x
Wednesday,DMDWIT3,-,x,CLH403,DMDW(DE),-,x
Wednesday,DMDWIT4,-,x,CLH404,DMDW(DE),-,x
Wednesday,DMDWIT5,-,x,CLH405,DMDW(DE),-,x
Wednesday,DMDWIT6,-,x,CLH406,DMDW(DE),-,x
Wednesday,CRPIT2,-,x,CLH407,CRP(DE),-,x
Wednesday,CIIT1,-,x,-,x,CLH406,CI(DE)
Wednesday,BDIT1,CLH206,BD(DE),-,x,-,x
Wednesday,BDIT2,CLH207,BD(DE),-,x,-,x
Wednesday,BDIT3,CLH208,BD(DE),-,x,-,x
Wednesday,BDIT4,CLH301,BD(DE),-,x,-,x
Wednesday,BDIT5,CLH302,BD(DE),-,x,-,x
Wednesday,BDIT6,CLH303,BD(DE),-,x,-,x
Wednesday,CGIT1,-,x,-,x,CLH407,CG(DE)
Wednesday,AICE2,-,x,CLH408,AI(DE),-,x
Wednesday,ITCCE1,-,x,-,x,CLH408,ITC(DE)
Wednesday,ITCCE2,-,x,-,x,CLH409,ITC(DE)
Wednesday,PMMCE1,-,x,-,x,CLH001,PMM(DE)
Wednesday,NLPSE1,-,x,CLH409,NLP(DE),-,x
Wednesday,CISE1,-,x,CLH001,CI(DE),-,x
Wednesday,MLSE1,-,x,-,x,CLH002,ML(DE)
Wednesday,MLSE2,-,x,-,x,CLH003,ML(DE)
Wednesday,MLSE3,-,x,-,x,CLH004,ML(DE)
Thursday,CRPCS1,-,x,CLH201,CRP(DE),-,x
Thursday,CRPCS2,-,x,CLH202,CRP(DE),-,x
Thursday,CRPCS3,-,x,CLH203,CRP(DE),-,x
Thursday,CRPCS4,-,x,CLH204,CRP(DE),-,x
Thursday,AICS1,CLH201,AI(DE),-,x,-,x
Thursday,AICS2,-,x,CLH205,AI(DE),-,x
Thursday,AICS3,-,x,CLH206,AI(DE),-,x
Thursday,AICS4,-,x,CLH207,AI(DE),-,x
Thursday,AICS5,-,x,CLH208,AI(DE),-,x
Thursday,AICS6,-,x,CLH301,AI(DE),-,x
Thursday,AICS7,-,x,CLH302,AI(DE),-,x
Thursday,AICS8,-,x,CLH303,AI(DE),-,x
Thursday,AICS9,-,x,CLH304,AI(DE),-,x
Thursday,AICS10,-,x,CLH305,AI(DE),-,x
Thursday,AICS11,-,x,CLH306,AI(DE),-,x
Thursday,AICS12,-,x,CLH307,AI(DE),-,x
Thursday,AICS13,-,x,CLH308,AI(DE),-,x
Thursday,AICS14,CLH202,AI(DE),-,x,-,x
Thursday,AICS15,CLH203,AI(DE),-,x,-,x
Thursday,AICS16,CLH204,AI(DE),-,x,-,x
Thursday,AICS17,CLH205,AI(DE),-,x,-,x
Thursday,AICS18,CLH206,AI(DE),-,x,-,x
Thursday,AICS19,CLH207,AI(DE),-,x,-,x
Thursday,AICS20,CLH208,AI(DE),-,x,-,x
Thursday,DMDWIT1,-,x,CLH401,DMDW(DE),-,x
Thursday,DMDWIT2,-,x,CLH402,DMDW(DE),-,x
Thursday,DMDWIT3,-,x,CLH403,DMDW(DE),-,x
Thursday,DMDWIT4,-,x,CLH404,DMDW(DE),-,x
Thursday,DMDWIT5,-,x,CLH405,DMDW(DE),-,x
Thursday,DMDWIT6,-,x,CLH406,DMDW(DE),-,x
Thursday,CRPIT1,CLH301,CRP(DE),-,x,-,x
Thursday,CRPIT2,-,x,CLH407,CRP(DE),-,x
Thursday,CRPCE1,CLH302,CRP(DE),-,x,-,x
Thursday,AICE1,CLH303,AI(DE),-,x,-,x
Thursday,AICE2,-,x,CLH408,AI(DE),-,x
Thursday,NLPSE1,-,x,CLH409,NLP(DE),-,x
Thursday,NLPSE2,CLH304,NLP(DE),-,x,-,x
Thursday,CISE1,-,x,CLH001,CI(DE),-,x
Friday,BDCS1,CLH201,BD(DE),-,x,-,x
Friday,BDCS2,CLH202,BD(DE),-,x,-,x
Friday,BDCS3,CLH203,BD(DE),-,x,-,x
Friday,BDCS4,CLH204,BD(DE),-,x,-,x
Friday,BDCS5,CLH205,BD(DE),-,x,-,x
Friday,BDCS6,CLH206,BD(DE),-,x,-,x
Friday,BDCS7,CLH207,BD(DE),-,x,-,x
Friday,BDCS8,CLH208,BD(DE),-,x,-,x
Friday,BDCS9,CLH301,BD(DE),-,x,-,x
Friday,BDCS10,CLH302,BD(DE),-,x,-,x
Friday,BDCS11,CLH303,BD(DE),-,x,-,x
Friday,BDCS12,CLH304,BD(DE),-,x,-,x
Friday,BDCS13,CLH305,BD(DE),-,x,-,x
Friday,BDCS14,-,x,CLH201,BD(DE),-,x
Friday,BDCS15,-,x,CLH202,BD(DE),-,x
Friday,BDCS16,-,x,CLH203,BD(DE),-,x
Friday,BDCS17,-,x,CLH204,BD(DE),-,x
Friday,BDCS18,-,x,CLH205,BD(DE),-,x
Friday,DMDWCS1,CLH306,DMDW(DE),-,x,-,x
Friday,DMDWCS2,CLH307,DMDW(DE),-,x,-,x
Friday,DMDWCS3,CLH308,DMDW(DE),-,x,-,x
Friday,DMDWCS4,CLH401,DMDW(DE),-,x,-,x
Friday,CICS1,CLH402,CI(DE),-,x,-,x
Friday,CICS2,CLH403,CI(DE),-,x,-,x
Friday,CICS3,CLH404,CI(DE),-,x,-,x
Friday,CICS4,CLH405,CI(DE),-,x,-,x
Friday,CIIT1,CLH406,CI(DE),-,x,-,x
Friday,BDIT1,-,x,CLH206,BD(DE),-,x
Friday,BDIT2,-,x,CLH207,BD(DE),-,x
Friday,BDIT3,-,x,CLH208,BD(DE),-,x
Friday,BDIT4,-,x,CLH301,BD(DE),-,x
Friday,BDIT5,-,x,CLH302,BD(DE),-,x
Friday,BDIT6,-,x,CLH303,BD(DE),-,x
Friday,CGIT1,CLH407,CG(DE),-,x,-,x
Friday,ITCCE1,CLH408,ITC(DE),-,x,-,x
Friday,ITCCE2,CLH409,ITC(DE),-,x,-,x
Friday,PMMCE1,CLH001,PMM(DE),-,x,-,x
Friday,MLSE1,CLH002,ML(DE),-,x,-,x
Friday,MLSE2,CLH003,ML(DE),-,x,-,x
Friday,MLSE3,CLH004,ML(DE),-,x,-,x